,Season,Squad,Comp,Player,Pos,Age,MP,Starts_Playing_Time,Min_Playing_Time,Mins_Per_90_Playing_Time,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per_Minutes,Ast_Per_Minutes,G+A_Per_Minutes,G_minus_PK_Per_Minutes,G+A_minus_PK_Per_Minutes,PlayerURL
1,NA,2022 Germany,World Cup 2022,Leroy Sane,"MF,FW",26,9,9,675,7.5,4,2,4,0,0,1,0,0.53,0.27,0.8,0.53,0.8,https://fbref.com/en/players/2b114be3/Leroy-Sane
2,NA,2022 Germany,World Cup 2022,Joshua Kimmich,MF,26,8,8,681,7.6,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,https://fbref.com/en/players/49296448/Joshua-Kimmich
3,NA,2022 Germany,World Cup 2022,Leon Goretzka,MF,26,9,8,632,7,1,7,1,0,0,0,0,0.14,1,1.14,0.14,1.14,https://fbref.com/en/players/cc86b9a3/Leon-Goretzka
4,NA,2022 Germany,World Cup 2022,Antonio Rüdiger,DF,28,7,7,630,7,1,0,1,0,0,2,0,0.14,0,0.14,0.14,0.14,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
5,NA,2022 Germany,World Cup 2022,Thilo Kehrer,DF,25,7,7,603,6.7,0,0,0,0,0,1,0,0,0,0,0,0,https://fbref.com/en/players/51dbeea9/Thilo-Kehrer
6,NA,2022 Germany,World Cup 2022,Ilkay Gündogan,MF,31,8,7,584,6.5,5,0,2,3,3,0,0,0.77,0,0.77,0.31,0.31,https://fbref.com/en/players/819b3158/Ilkay-Gundogan
7,NA,2022 Germany,World Cup 2022,Serge Gnabry,"MF,FW",26,8,7,574,6.4,5,1,5,0,0,0,0,0.78,0.16,0.94,0.78,0.94,https://fbref.com/en/players/88e357ef/Serge-Gnabry
8,NA,2022 Germany,World Cup 2022,Manuel Neuer,GK,35,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/8778c910/Manuel-Neuer
9,NA,2022 Germany,World Cup 2022,Kai Havertz,"FW,MF",22,8,6,487,5.4,3,2,3,0,0,2,0,0.55,0.37,0.92,0.55,0.92,https://fbref.com/en/players/fed7cb61/Kai-Havertz
10,NA,2022 Germany,World Cup 2022,Timo Werner,FW,25,8,5,470,5.2,5,1,5,0,0,0,0,0.96,0.19,1.15,0.96,1.15,https://fbref.com/en/players/49fe9070/Timo-Werner
11,NA,2022 Germany,World Cup 2022,Niklas Süle,DF,26,5,5,418,4.6,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/e33c06cf/Niklas-Sule
12,NA,2022 Germany,World Cup 2022,Jonas Hofmann,"DF,MF",29,7,5,394,4.4,2,1,2,0,0,0,0,0.46,0.23,0.69,0.46,0.69,https://fbref.com/en/players/2903a856/Jonas-Hofmann
13,NA,2022 Germany,World Cup 2022,Matthias Ginter,DF,28,5,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/f521b80a/Matthias-Ginter
14,NA,2022 Germany,World Cup 2022,Lukas Klostermann,DF,25,5,3,321,3.6,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/ca8033cb/Lukas-Klostermann
15,NA,2022 Germany,World Cup 2022,Emre Can,DF,28,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,https://fbref.com/en/players/a65ce836/Emre-Can
16,NA,2022 Germany,World Cup 2022,Marc-Andre ter Stegen,GK,29,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
17,NA,2022 Germany,World Cup 2022,Thomas Müller,"FW,MF",32,4,3,252,2.8,3,3,3,0,0,0,0,1.07,1.07,2.14,1.07,2.14,https://fbref.com/en/players/3c6089ab/Thomas-Muller
18,NA,2022 Germany,World Cup 2022,Marco Reus,MF,32,4,3,246,2.7,2,5,2,0,0,0,0,0.73,1.83,2.56,0.73,2.56,https://fbref.com/en/players/36a3ff67/Marco-Reus
19,NA,2022 Germany,World Cup 2022,David Raum,"MF,DF",23,3,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7d450ed3/David-Raum
20,NA,2022 Germany,World Cup 2022,Robin Gosens,DF,27,3,2,177,2,0,0,0,0,0,1,0,0,0,0,0,0,https://fbref.com/en/players/2d970560/Robin-Gosens
21,NA,2022 Germany,World Cup 2022,Ridle Baku,"MF,DF",23,3,2,157,1.7,1,0,1,0,0,0,0,0.57,0,0.57,0.57,0.57,https://fbref.com/en/players/442b56fa/Ridle-Baku
22,NA,2022 Germany,World Cup 2022,Jamal Musiala,MF,18,6,1,152,1.7,1,1,1,0,0,1,0,0.59,0.59,1.18,0.59,1.18,https://fbref.com/en/players/2c0558b8/Jamal-Musiala
23,NA,2022 Germany,World Cup 2022,Florian Neuhaus,MF,24,5,1,149,1.7,0,1,0,0,0,1,0,0,0.6,0.6,0,0.6,https://fbref.com/en/players/36a59ba4/Florian-Neuhaus
24,NA,2022 Germany,World Cup 2022,Christian Ginter,DF,28,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/8593f88c/Christian-Gunter
25,NA,2022 Germany,World Cup 2022,Bernd Leno,GK,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/2628fd2b/Bernd-Leno
26,NA,2022 Germany,World Cup 2022,Jonathan Tah,DF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/bd142efb/Jonathan-Tah
27,NA,2022 Germany,World Cup 2022,Florian Wirtz,MF,18,4,0,81,0.9,0,1,0,0,0,0,0,0,1.11,1.11,0,1.11,https://fbref.com/en/players/e7fcf289/Florian-Wirtz
28,NA,2022 Germany,World Cup 2022,Lukas Nmecha,"FW,MF",23,2,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/0cc5f4a5/Lukas-Nmecha
29,NA,2022 Germany,World Cup 2022,Maximilian Arnold,MF,27,2,0,58,0.6,0,0,0,0,0,1,0,0,0,0,0,0,https://fbref.com/en/players/86e119e0/Maximilian-Arnold
30,NA,2022 Germany,World Cup 2022,Karim Adeyemi,FW,20,3,0,51,0.6,1,1,1,0,0,0,0,1.76,1.76,3.53,1.76,3.53,https://fbref.com/en/players/501055d8/Karim-Adeyemi
31,NA,2022 Germany,World Cup 2022,Kevin Volland,"FW,MF",29,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/64f69877/Kevin-Volland
32,NA,2022 Germany,World Cup 2022,Amin Younes,"FW,MF",28,3,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/228f73ae/Amin-Younes
33,NA,2022 Germany,World Cup 2022,Julian Brandt,"FW,MF",25,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/a167537f/Julian-Brandt
34,NA,2022 Germany,World Cup 2022,Mahmoud Dahoud,MF,26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
35,NA,2022 Germany,World Cup 2022,Julian Draxler,"FW,MF",28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/1a992676/Julian-Draxler
36,NA,2022 Germany,World Cup 2022,Philipp Max,"DF,MF",28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/826e8b63/Philipp-Max
37,NA,2022 Germany,World Cup 2022,Nico Schlotterbeck,DF,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/34e12499/Nico-Schlotterbeck
38,NA,2022 Germany,World Cup 2022,Kevin Trapp,GK,31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp
